"","X","instant","dteday","season","yr","mnth","hr","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","cnt","mnth2","weekday2","hr2"
"75",72,72,"1/4/11",1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,"January","Tuesday","2 AM"
"76",17383,72.5,"1/4/11",1,0,1,3,0,2,1,NA,NA,NA,NA,NA,0,0,0,"January","Tuesday","3 AM"
"77",73,73,"1/4/11",1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,"January","Tuesday","4 AM"
"78",74,74,"1/4/11",1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,"January","Tuesday","5 AM"
"79",75,75,"1/4/11",1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,"January","Tuesday","6 AM"
"80",76,76,"1/4/11",1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,"January","Tuesday","7 AM"
"81",77,77,"1/4/11",1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,"January","Tuesday","8 AM"
"82",78,78,"1/4/11",1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,"January","Tuesday","9 AM"
"83",79,79,"1/4/11",1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,"January","Tuesday","10 AM"
"84",80,80,"1/4/11",1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,"January","Tuesday","11 AM"
"85",81,81,"1/4/11",1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,"January","Tuesday","12 PM"
"86",82,82,"1/4/11",1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,"January","Tuesday","1 PM"
"87",83,83,"1/4/11",1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,"January","Tuesday","2 PM"
"88",84,84,"1/4/11",1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,"January","Tuesday","3 PM"
"89",85,85,"1/4/11",1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,"January","Tuesday","4 PM"
"90",86,86,"1/4/11",1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,"January","Tuesday","5 PM"
"91",87,87,"1/4/11",1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,"January","Tuesday","6 PM"
"92",88,88,"1/4/11",1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,"January","Tuesday","7 PM"
"93",89,89,"1/4/11",1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,"January","Tuesday","8 PM"
"94",90,90,"1/4/11",1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0,0,48,48,"January","Tuesday","9 PM"
"95",91,91,"1/4/11",1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,"January","Tuesday","10 PM"
"96",92,92,"1/4/11",1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,"January","Tuesday","11 PM"
"97",93,93,"1/5/11",1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0,0,6,6,"January","Wednesday","12 AM"
"98",94,94,"1/5/11",1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,"January","Wednesday","1 AM"
"99",95,95,"1/5/11",1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,"January","Wednesday","2 AM"
"100",17384,95.5,"1/5/11",1,0,1,3,0,3,1,NA,NA,NA,NA,NA,0,0,0,"January","Wednesday","3 AM"
"101",96,96,"1/5/11",1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,"January","Wednesday","4 AM"
"102",97,97,"1/5/11",1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,"January","Wednesday","5 AM"
"103",98,98,"1/5/11",1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,"January","Wednesday","6 AM"
"104",99,99,"1/5/11",1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,"January","Wednesday","7 AM"
"105",100,100,"1/5/11",1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,"January","Wednesday","8 AM"
"106",101,101,"1/5/11",1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,"January","Wednesday","9 AM"
"107",102,102,"1/5/11",1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,"January","Wednesday","10 AM"
"108",103,103,"1/5/11",1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,"January","Wednesday","11 AM"
"109",104,104,"1/5/11",1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,"January","Wednesday","12 PM"
"110",105,105,"1/5/11",1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,"January","Wednesday","1 PM"
"111",106,106,"1/5/11",1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,"January","Wednesday","2 PM"
"112",107,107,"1/5/11",1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,"January","Wednesday","3 PM"
"113",108,108,"1/5/11",1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,"January","Wednesday","4 PM"
"114",109,109,"1/5/11",1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,"January","Wednesday","5 PM"
"115",110,110,"1/5/11",1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,"January","Wednesday","6 PM"
"116",111,111,"1/5/11",1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,"January","Wednesday","7 PM"
"117",112,112,"1/5/11",1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,"January","Wednesday","8 PM"
"118",113,113,"1/5/11",1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,"January","Wednesday","9 PM"
"119",114,114,"1/5/11",1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,"January","Wednesday","10 PM"
"120",115,115,"1/5/11",1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0,1,18,19,"January","Wednesday","11 PM"
"121",116,116,"1/6/11",1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0,0,11,11,"January","Thursday","12 AM"
"122",117,117,"1/6/11",1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0,0,4,4,"January","Thursday","1 AM"
"123",118,118,"1/6/11",1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0,0,2,2,"January","Thursday","2 AM"
"124",17385,118.5,"1/6/11",1,0,1,3,0,4,1,NA,NA,NA,NA,NA,0,0,0,"January","Thursday","3 AM"
"125",119,119,"1/6/11",1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,"January","Thursday","4 AM"
"126",120,120,"1/6/11",1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,"January","Thursday","5 AM"
"127",121,121,"1/6/11",1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,"January","Thursday","6 AM"
"128",122,122,"1/6/11",1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0,0,95,95,"January","Thursday","7 AM"
"129",123,123,"1/6/11",1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0,3,216,219,"January","Thursday","8 AM"
"130",124,124,"1/6/11",1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0,6,116,122,"January","Thursday","9 AM"
"131",125,125,"1/6/11",1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0,3,42,45,"January","Thursday","10 AM"
"132",126,126,"1/6/11",1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,"January","Thursday","11 AM"
"133",127,127,"1/6/11",1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0,6,78,84,"January","Thursday","12 PM"
"134",128,128,"1/6/11",1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,"January","Thursday","1 PM"
"135",129,129,"1/6/11",1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,"January","Thursday","2 PM"
"136",130,130,"1/6/11",1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0,8,54,62,"January","Thursday","3 PM"
"137",131,131,"1/6/11",1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,"January","Thursday","4 PM"
"138",132,132,"1/6/11",1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,"January","Thursday","5 PM"
"139",133,133,"1/6/11",1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,"January","Thursday","6 PM"
"140",134,134,"1/6/11",1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,"January","Thursday","7 PM"
"141",135,135,"1/6/11",1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,"January","Thursday","8 PM"
"142",136,136,"1/6/11",1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,"January","Thursday","9 PM"
"143",137,137,"1/6/11",1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,"January","Thursday","10 PM"
"144",138,138,"1/6/11",1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,"January","Thursday","11 PM"
"145",139,139,"1/7/11",1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,"January","Friday","12 AM"
"146",140,140,"1/7/11",1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,"January","Friday","1 AM"
"147",141,141,"1/7/11",1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,"January","Friday","2 AM"
"148",17386,141.5,"1/7/11",1,0,1,3,0,5,1,NA,NA,NA,NA,NA,0,0,0,"January","Friday","3 AM"
"149",142,142,"1/7/11",1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,"January","Friday","4 AM"
"150",143,143,"1/7/11",1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0,0,5,5,"January","Friday","5 AM"
"151",144,144,"1/7/11",1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0,8,26,34,"January","Friday","6 AM"
"152",145,145,"1/7/11",1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,"January","Friday","7 AM"
"153",146,146,"1/7/11",1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,"January","Friday","8 AM"
"154",147,147,"1/7/11",1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,"January","Friday","9 AM"
"155",148,148,"1/7/11",1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,"January","Friday","10 AM"
"156",149,149,"1/7/11",1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,"January","Friday","11 AM"
"157",150,150,"1/7/11",1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,"January","Friday","12 PM"
"158",151,151,"1/7/11",1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,"January","Friday","1 PM"
"159",152,152,"1/7/11",1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,"January","Friday","2 PM"
"160",153,153,"1/7/11",1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,"January","Friday","3 PM"
"161",154,154,"1/7/11",1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,"January","Friday","4 PM"
"162",155,155,"1/7/11",1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0,9,178,187,"January","Friday","5 PM"
"163",156,156,"1/7/11",1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,"January","Friday","6 PM"
"164",157,157,"1/7/11",1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,"January","Friday","7 PM"
"165",158,158,"1/7/11",1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,"January","Friday","8 PM"
"166",159,159,"1/7/11",1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,"January","Friday","9 PM"
"167",160,160,"1/7/11",1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,"January","Friday","10 PM"
"168",161,161,"1/7/11",1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15,"January","Friday","11 PM"
"169",162,162,"1/8/11",1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25,"January","Saturday","12 AM"
"170",163,163,"1/8/11",1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,"January","Saturday","1 AM"
"171",164,164,"1/8/11",1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0,3,13,16,"January","Saturday","2 AM"
"172",165,165,"1/8/11",1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7,"January","Saturday","3 AM"
"173",166,166,"1/8/11",1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1,"January","Saturday","4 AM"
"174",167,167,"1/8/11",1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5,"January","Saturday","5 AM"
"175",168,168,"1/8/11",1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2,"January","Saturday","6 AM"
"176",169,169,"1/8/11",1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9,"January","Saturday","7 AM"
"177",170,170,"1/8/11",1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15,"January","Saturday","8 AM"
"178",171,171,"1/8/11",1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20,"January","Saturday","9 AM"
"179",172,172,"1/8/11",1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61,"January","Saturday","10 AM"
"180",173,173,"1/8/11",1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62,"January","Saturday","11 AM"
"181",174,174,"1/8/11",1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98,"January","Saturday","12 PM"
"182",175,175,"1/8/11",1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102,"January","Saturday","1 PM"
"183",176,176,"1/8/11",1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95,"January","Saturday","2 PM"
"184",177,177,"1/8/11",1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74,"January","Saturday","3 PM"
"185",178,178,"1/8/11",1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76,"January","Saturday","4 PM"
"186",179,179,"1/8/11",1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69,"January","Saturday","5 PM"
"187",180,180,"1/8/11",1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55,"January","Saturday","6 PM"
"188",181,181,"1/8/11",1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30,"January","Saturday","7 PM"
"189",182,182,"1/8/11",1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28,"January","Saturday","8 PM"
"190",183,183,"1/8/11",1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37,"January","Saturday","9 PM"
"191",184,184,"1/8/11",1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34,"January","Saturday","10 PM"
"192",185,185,"1/8/11",1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22,"January","Saturday","11 PM"
"193",186,186,"1/9/11",1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25,"January","Sunday","12 AM"
"194",187,187,"1/9/11",1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12,"January","Sunday","1 AM"
"195",188,188,"1/9/11",1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11,"January","Sunday","2 AM"
"196",189,189,"1/9/11",1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4,"January","Sunday","3 AM"
"197",190,190,"1/9/11",1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,"January","Sunday","4 AM"
"198",191,191,"1/9/11",1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,"January","Sunday","5 AM"
"199",192,192,"1/9/11",1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1,"January","Sunday","6 AM"
"200",193,193,"1/9/11",1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6,"January","Sunday","7 AM"
"201",194,194,"1/9/11",1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10,"January","Sunday","8 AM"
"202",195,195,"1/9/11",1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19,"January","Sunday","9 AM"
"203",196,196,"1/9/11",1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49,"January","Sunday","10 AM"
"204",197,197,"1/9/11",1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49,"January","Sunday","11 AM"
"205",198,198,"1/9/11",1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83,"January","Sunday","12 PM"
